;16
de;7
1;3
del;2
operacion;2
el;2
pago;2
justificante;2
emisor;2
tributo;2
7560;1
con;1
10370;1
15144;1
nif;1
datos;1
pag;1
id;1
nrc;1
recibo;1
180026;1
en;1
importe;1
pagos;1
v178351;1
este;1
caixabank;1
28092021;1
inscrita;1
traves;1
universidad;1
surte;1
sa;1
hoja;1
a08663619;1
103508;1
fechahora;1
2201;1
efectos;1
libratorios;1
mercantil;1
tarjeta;1
802155;1
a;1
original;1
valencia;1
90502180026015263223108000220100015144;1
identificacion;1
tomo;1
pasarela;1
registro;1
0015263223108;1
granada;1
acompanado;1
folio;1
online;1
efectuado;1
referencia;1
